x,y,name,production
-19.91807662068584,32.12490161621532,Val Giuv,6.1
-19.91807683887834,32.12490120953894,Curnera Druckminderer,10.0
-19.918076501666352,32.12490168551557,Val Strem,6.0
-19.918076441209404,32.124901659628065,Sedrun 1,258.4
-19.918076441209404,32.124901659628065,Sedrun 2,2.9
-19.918074006048453,32.12490317682974,Tavanasa (KVR),563.4
-19.91807534826103,32.124902471474776,Russein,66.8
-19.918074570555188,32.124902931113496,Ferrera,18.51
-19.918074570555188,32.124902931113496,Trun,4.0
-19.918073998592348,32.12490323895727,Dardin (Casut),1.63
-19.918073785703104,32.12490328008544,Tavanasa / Obersaxen (AHSAG),22.84
-19.91807375232325,32.124903229113066,"St. Joseph, Obersaxen",12.5
-19.918073788162932,32.12490331049779,Mutteins,54.3
-19.9180733755567,32.12490356409207,Ladral,15.53
-19.91807263935384,32.124903823499864,Ilanz 1,137.2
-19.91807263935384,32.124903823499864,Ilanz 2,139.6
-19.918072685314776,32.12490196310497,Seekraftwerk Zervreila,25.7
-19.918071113848185,32.12490338165486,Safien Platz,162.3
-19.91807042598637,32.12490442489216,Rothenbrunnen (KWZ),330.7
-19.91807042539902,32.12490441579053,"Realta, Rothenbrunnen",38.8
-19.918072299942715,32.124902847946096,Lunschania,2.01
-19.918071937433176,32.124904214039276,Bargaus,13.7
-19.918072182336548,32.12490456539959,Punt Gronda (Segnas),11.07
-19.918072182336548,32.12490456539959,Punt Gronda (Platt Alva),1.42
-19.918072182336548,32.12490456539959,Punt Gronda (Tarschlims),1.9
-19.91807199142909,32.12490458021871,Stenna (Flims),7.7
-19.918071652527082,32.12490468824882,"Flims, Felsbach (Karstwasser)",4.19
-19.918071652527082,32.12490468824882,"Flims, Felsbach (Bergwasser)",1.5
-19.918071429796058,32.124904751122024,Mulin,5.8
-19.918071279008636,32.124904622516524,Pintrun,30.8
-19.91806944043514,32.12490253334268,Ferrera 1,304.0
-19.91806944043514,32.12490253334268,Ferrera 2,2.5
-19.918071298874914,32.1249020537521,Nufenen,1.33
-19.91807070455398,32.12490226473381,Splügen (Tambobach),7.2
-19.91807061186727,32.124902343394474,"Splügen II, Hüscherabach",6.1
-19.91807009747534,32.12490265620478,Sufers-Dotieranlage,1.5
-19.91806976916398,32.12490297159411,Bärenburg,488.0
-19.91806976916398,32.12490297159411,Bärenburg-Dotierzentrale,2.8
-19.91806972858934,32.12490404901192,Sils (KHR),660.0
-19.918069914912568,32.12490386890064,Thusis,15.7
-19.91806627632706,32.12490403103828,Preda,4.8
-19.91806664605987,32.124905622739895,Frauenkirch,4.32
-19.918066820161766,32.12490525984426,Glaris,7.36
-19.918067432606342,32.12490444614799,Filisur,289.8
-19.918068473316847,32.12490403878483,Tiefencastel (ALK),104.4
-19.918067185916748,32.124902728486695,Stalvedro (Julia),3.3
-19.918067438213104,32.12490295223894,Marmorera-Dotierkraftwerk,1.34
-19.91806775914362,32.12490346908946,"Mulegn, Tinizong-Rona",20.6
-19.918067890291614,32.12490348061648,Tinizong,202.34
-19.918068234258946,32.12490323882886,Nandrò,5.71
-19.918068650860278,32.124904017355924,Tiefencastel Ost,150.64
-19.918068650860278,32.124904017355924,Tiefencastel West,83.05
-19.91806908005131,32.12490404971456,Solis,22.9
-19.91806975720511,32.12490404907228,Sils (EWZ),116.79
-19.9180704273901,32.12490450035591,Rothenbrunnen (EWZ),185.66
-19.918070396590128,32.12490511128824,Reichenau,106.3
-19.918067732278836,32.124905580551484,Litzirüti,22.6
-19.91806880948826,32.124905514872424,Lüen (Sagenbach),11.0
-19.91806880948826,32.124905514872424,"Lüen (Plessur, Clasaurer)",43.28
-19.918069474907792,32.12490542195995,"Sand (Plessur), Chur-Sand",47.6
-19.918069474907792,32.12490542195995,Sand (Rabiusa),4.45
-19.91806921426749,32.12490489258913,Churwalden,1.9
-19.91806936734752,32.12490534084238,"Grida, Churwalden",1.6
-19.91806609338785,32.124906662550075,Klosters,27.0
-19.918066345415138,32.12490681114408,Schlappin,30.8
-19.918067392881532,32.12490675969263,Küblis,174.5
-19.918067320253307,32.12490706286984,"Gadastätt, St. Antönien, Schan",7.4
-19.91806898011503,32.12490691776221,Taschinas,41.0
-19.918069532204846,32.124906525211294,Igiser Mülbach 1 (Landquart 1),3.0
-19.918069643886614,32.12490644797751,Igiser Mülbach 2 (Landquart 2),5.0
-19.91807045817334,32.12490613599541,Mapragg,176.6
-19.918069998885752,32.12490654832241,Sarelli,179.8
-19.918070447716364,32.12490662623505,Ragaz,0.8
-19.918069898102836,32.124906731118074,Industrie,2.73
-19.918071049328784,32.12490665847283,Valeis,5.3
-19.918071121824415,32.12490666001138,Grossbach,3.8
-19.91807105522916,32.12490757722711,Sevelen,4.65
-19.91807151897476,32.12490769862469,Vorderberg,2.59
-19.91807136134601,32.12490781556865,Tobeläckerli,1.2
-19.918071339260983,32.1249078296171,Altendorf (Buchs),11.81
-19.918071886161826,32.12490780773146,Bannwald (Grabs),1.5
-19.918071766951492,32.12490787384694,Löchli,3.51
-19.918071428105538,32.124908788114084,Strick,5.2
-19.91807118935834,32.1249089902122,Lienz,1.45
-19.918070895263472,32.12490938788726,"Blatten, am Kanal (SAK)",1.46
-19.918070890266502,32.124909686800066,Montlingen,1.54
-19.91807163505436,32.12491061543203,"Gstaldenbach, Heiden",2.0
-19.918072685831117,32.12491027271441,Lochmühle,2.8
-19.91807294541205,32.124910571778685,Morgental,4.0
-19.91808143393526,32.12490976019661,Schaffhausen,173.75
-19.918081435136035,32.1249097632162,Engeweiher,0.0
-19.918081538286817,32.124909603037345,Neuhausen,43.81
-19.918081522488208,32.124909221650256,Rheinau,241.7
-19.918074077462943,32.12490755588089,Giessen,6.43
-19.918074330077083,32.124907513453714,Nesslau (Ijentalerbach),2.5
-19.91807448128689,32.1249076848099,Herrentöbeli,3.59
-19.918074637477737,32.1249076809032,Trempel,8.0
-19.91807500302796,32.124907653114825,Im Roos,3.87
-19.91807567020477,32.124908056651556,"Stadtbrücke, Lichtensteig",2.5
